postcodeSector,households,numberOfPostcodeUnits,headcount
L19  8,1420,106,3153
L19  9,1283,93,3341
L2   0,141,103,395
L2   2,117,173,719
L2   5,140,52,263
L20  0,1409,75,3223
L20  2,1207,81,2886
L20  3,1409,211,2757
L20  4,3536,290,6921
L20  5,1414,101,2903
L20  6,2283,202,6441
L20  7,1063,135,2607
L20  8,182,168,365
L20  9,2745,191,6382
L21  0,1624,83,3340
L21  1,1832,112,3568
L21  2,525,36,1033
L21  3,354,26,517
L21  4,830,56,1511
L21  5,794,48,1729
L21  6,427,39,1178
L21  7,1534,97,3314
L21  8,1692,120,3521
L21  9,2100,108,5243
L22  0,726,83,1202
L22  1,498,33,1073
L22  2,777,41,1762
L22  3,533,41,1265
L22  4,851,43,2078
L22  5,745,70,1355
L22  6,618,33,1189
L22  7,579,30,1223
L22  8,649,38,1167
L22  9,613,40,1441
L23  0,1915,128,4945
L23  1,996,65,2093
L23  2,1373,125,3802
L23  3,1106,72,2493
L23  4,476,38,1080
L23  5,1057,85,1873
L23  6,1571,122,2961
L23  7,1274,91,3240
L23  8,959,95,2252
L23  9,2457,114,5724
L24  0,1270,46,2521
L24  1,482,72,2385
L24  2,1346,83,3426
L24  3,1284,56,3175
L24  4,413,44,998
L24  5,403,34,802
L24  6,553,31,1174
L24  7,839,35,1642
L24  9,463,128,1242
L25  0,1355,93,3775
L25  1,957,91,2145
L25  2,1625,166,3977
L25  3,1478,104,3253
L25  4,1293,112,2984
L25  5,2131,132,3712
L25  6,739,112,2509
L25  7,2312,146,3480
L25  8,1764,99,3411
L25  9,2034,118,4799
L26  0,977,69,2396
L26  1,1451,75,3153
L26  3,129,7,92
L26  6,513,46,1826
L26  7,1832,112,4415
L26  9,1346,89,3150
L27  0,148,5,196
L27  1,575,41,1401
L27  4,111,24,644
L27  5,493,30,1046
L27  6,447,34,963
L27  7,566,44,1589
L27  8,466,26,865
L28  0,443,17,903
L28  1,662,59,1778
L28  3,104,9,331
L28  4,638,17,1273
L28  5,596,19,873
L28  6,219,14,475
L28  7,147,11,555
L28  8,228,9,482
L29  7,161,13,310
L3   0,409,33,816
L3   1,663,146,1099
L3   2,873,68,3192
L3   3,201,68,507
L3   4,1931,99,2677
L3   5,750,156,4720
L3   6,1549,131,3626
L3   8,882,128,2873
L3   9,863,169,1029
L30  0,972,52,2081
L30  1,1727,106,4245
L30  2,1443,88,3408
L30  3,852,53,1980
L30  5,1423,63,2941
L30  6,113,53,403
L30  7,1176,68,2446
L30  8,571,26,1326
L30  9,426,28,1113
L31  0,1098,68,1983
L31  1,1622,149,4971
L31  2,1432,109,3453
L31  3,673,72,1685
L31  4,955,116,2455
L31  5,1480,81,3438
L31  6,1429,87,3106
L31  7,1250,73,2732
L31  8,1270,92,2909
L31  9,1724,99,4020
L32  0,1432,94,3723
L32  1,590,46,1976
L32  2,1000,55,2364
L32  3,565,32,1423
L32  4,836,73,1772
L32  5,346,33,831
L32  6,1107,59,1697
L32  7,903,68,2083
L32  8,931,106,1919
L32  9,1301,84,3244
L33  0,494,34,1206
L33  1,1931,215,5414
L33  2,492,35,1676
L33  4,1470,111,4122
L33  5,583,36,1449
L33  6,606,55,1839
L33  7,107,206,200
L33  8,526,39,1068
L33  9,738,59,2133
L34  0,1057,64,2073
L34  1,821,107,3082
L34  2,1438,112,3728
L34  3,360,30,568
L34  4,160,22,235
L34  5,747,119,2009
L34  6,943,66,1578
L35  0,1165,100,2735
L35  1,596,58,1265
L35  2,976,66,2569
L35  3,3303,177,7055
L35  4,1277,92,3221
L35  5,2287,105,4789
L35  6,579,63,1483
L35  7,1111,79,3057
L35  8,1377,73,2833
L35  9,685,46,1547
L36  0,1922,104,4628
L36  1,1270,78,2918
L36  2,2170,93,4413
L36  3,2001,113,5130
L36  4,2729,141,6522
L36  5,1824,128,4261
L36  6,1093,143,2899
L36  7,1631,125,3957
L36  8,1897,120,5152
L36  9,662,133,2251
L37  1,976,112,2568
L37  2,2029,184,4889
L37  3,2261,160,4530
L37  4,1145,143,2774
L37  5,95,13,145
L37  6,1240,111,3144
L37  7,1529,140,3356
L37  8,868,74,1753
L38  0,254,27,517
L38  1,121,8,198
L38  3,126,26,326
L38  6,101,14,205
L38  9,523,41,1183
L39  0,529,52,964
L39  1,2167,110,4794
L39  2,1380,200,3963
L39  3,1429,144,3402
L39  4,2464,182,8740
L39  5,1965,165,4406
L39  6,921,82,2219
L39  7,482,64,1366
L39  8,595,66,1336
L4   0,1599,70,2760
L4   1,1645,104,3717
L4   2,2618,106,5826
L4   3,1711,86,3981
L4   4,2263,141,4499
L4   5,3259,129,5738
L4   6,1364,77,2516
L4   7,1606,56,3277
L4   8,1137,61,2913
L4   9,2385,96,5426
L40  0,603,63,1330
L40  1,863,92,2226
L40  2,458,55,1335
L40  3,531,52,806
L40  4,710,55,1601
L40  5,1167,111,3563
L40  6,467,69,1232
L40  7,1992,114,4953
L40  8,575,71,1029
L40  9,569,66,1288
L5   0,896,64,1855
L5   1,266,55,1186
L5   2,399,76,1242
L5   3,992,110,1596
L5   4,612,53,1249
L5   5,477,75,1214
L5   6,1177,77,2702
L5   7,715,61,1484
L5   8,396,77,1257
L5   9,514,102,785
L6   0,1325,48,2559
L6   1,891,116,2322
L6   2,1127,122,2550
L6   3,1314,38,1992
L6   4,1850,79,4371
L6   5,1433,97,3298
L6   6,1771,49,3579
L6   7,422,16,658
L6   8,913,29,1778
L6   9,649,62,1650
L7   0,1751,84,4034
L7   1,135,58,1017
L7   2,882,55,2113
L7   3,1018,107,2932
L7   4,241,27,607
L7   5,578,39,1200
L7   6,869,80,2166
L7   7,749,72,2968
L7   8,1516,82,3889
L7   9,153,52,689
L8   0,3703,125,6797
L8   1,619,65,1747
L8   2,1077,53,3022
L8   3,1662,61,3130
L8   4,2020,117,3620
L8   5,954,102,2455
L8   6,1143,116,3648
L8   7,2946,115,3669
L8   8,2338,118,4589
L8   9,1256,77,2623
L9   0,1819,116,3469
L9   1,3207,153,6113
L9   2,1157,60,2825
L9   3,1165,57,3105
L9   4,416,38,1099
L9   6,1712,88,4007
L9   7,365,121,1674
L9   8,1965,108,4612
L9   9,2259,122,4892
LA1  1,2682,390,6702
LA1  2,4949,279,11611
LA1  3,4184,311,12328
LA1  4,5432,382,14931
LA1  5,4095,346,10422
LA10 5,1998,257,3825
LA11 6,2176,258,3734
LA11 7,3148,256,6211
LA12 0,2867,296,6066
LA12 7,2460,311,4733
LA12 8,1558,221,2237
LA12 9,3317,275,7167
LA13 0,3891,268,9089
LA13 9,4486,292,10015
LA14 1,1905,312,3317
LA14 2,4095,298,6184
LA14 3,5056,299,10519
LA14 4,3138,243,6648
LA14 5,5139,309,10288
LA15 8,3633,279,7655
LA16 7,1521,121,3248
LA17 7,605,61,1205
LA18 4,2538,196,5147
LA18 5,1568,140,3154
LA19 5,475,81,1035
LA2  0,1627,229,6123
LA2  6,2450,243,5794
LA2  7,1508,179,3018
LA2  8,1598,234,3240
LA2  9,2027,237,4444
LA20 6,702,95,1191
LA21 8,635,105,1017
LA22 0,1704,234,2008
LA22 9,1874,251,2882
LA23 1,1677,229,2191
LA23 2,2020,179,4068
LA23 3,1590,207,2047
LA3  1,4245,312,8305
LA3  2,4534,338,10664
LA3  3,2609,287,6153
LA4  4,4503,311,9165
LA4  5,4352,329,8760
LA4  6,4111,284,8116
LA5  0,2105,200,3795
LA5  8,1881,150,4196
LA5  9,3849,331,8254
LA6  1,2454,275,5635
LA6  2,2141,294,4524
LA6  3,1579,206,3034
LA7  7,2451,253,5056
LA8  0,1307,177,2912
LA8  8,1412,204,2747
LA8  9,1743,207,3258
LA9  4,2372,307,4105
LA9  5,4187,252,9604
LA9  6,3169,268,7567
LA9  7,4557,285,10561
LE1  1,1186,212,2249
LE1  2,1430,140,5066
LE1  3,462,243,1522
LE1  4,436,153,1657
LE1  5,719,240,4150
LE1  6,1447,258,2804
LE1  7,281,145,1307
LE10 0,9146,391,22488
LE10 1,4781,351,11467
LE10 2,6587,353,16011
LE10 3,990,195,3156
LE11 1,4739,351,11151
LE11 2,5815,348,16441
LE11 3,4355,332,17473
LE11 4,4144,174,9829
LE11 5,4577,289,10759
LE12 5,3051,256,8139
LE12 6,3874,290,11511
LE12 7,7221,398,17979
LE12 8,6082,395,15631
LE12 9,6601,394,16136
LE13 0,6595,369,15181
LE13 1,5370,357,12445
LE14 2,2042,264,4888
LE14 3,2927,259,6982
LE14 4,2659,269,6245
LE15 6,4851,339,11297
LE15 7,3385,359,11488
LE15 8,2756,285,6140
LE15 9,2884,294,7123
LE16 7,4758,391,12931
LE16 8,4799,379,10440
LE16 9,5685,368,14941
LE17 4,4552,392,12081
LE17 5,2524,285,6791
LE17 6,1622,227,4763
LE18 1,3271,190,8640
LE18 2,3726,210,8365
LE18 3,3566,204,8635
LE18 4,3528,207,8115
LE19 2,2601,171,6252
LE19 3,1913,119,4789
LE19 4,1822,154,5392
LE2  0,4638,269,12443
LE2  1,5156,310,14465
LE2  2,2427,185,7269
LE2  3,4780,293,11400
LE2  4,4498,294,13009
LE2  5,3689,270,8464
LE2  6,5723,307,17071
LE2  7,3492,302,11539
LE2  8,4981,257,11759
LE2  9,6575,292,15687
LE3  0,5058,279,13766
LE3  1,6044,310,15671
LE3  2,6130,344,15428
LE3  3,5483,338,15033
LE3  5,3193,242,7557
LE3  6,5671,270,12937
LE3  8,4496,300,11439
LE3  9,6583,306,18147
LE4  0,6090,322,16500
LE4  1,2024,130,4825
LE4  2,4232,273,11495
LE4  3,2254,201,7477
LE4  4,2826,181,6670
LE4  5,3354,253,12338
LE4  6,5215,245,17638
LE4  7,4221,397,12172
LE4  8,4071,254,9732
LE4  9,3126,222,10150
LE5  0,2931,235,11857
LE5  1,6212,348,21521
LE5  2,4309,196,11689
LE5  3,3007,217,12586
LE5  4,4938,297,14487
LE5  5,4997,327,17682
LE5  6,3349,207,9801
LE6  0,5184,396,12048
LE65 1,2687,302,7158
LE65 2,3396,272,9783
LE67 1,2291,199,5964
LE67 2,3275,265,9273
LE67 3,3934,285,9909
LE67 4,4400,248,11528
LE67 5,3779,181,8370
LE67 6,2556,174,7371
LE67 8,2529,179,5989
LE67 9,2740,184,6406
LE7  1,2596,183,5336
LE7  2,3015,189,8663
LE7  3,2238,192,5851
LE7  4,1601,145,3748
LE7  7,5512,398,15691
LE7  9,4299,377,11956
LE8  0,2744,381,8376
LE8  4,2743,171,7039
LE8  5,2985,191,8293
LE8  6,2791,205,7337
LE8  8,1982,133,5042
LE8  9,1653,142,4590
LE9  1,1475,98,3541
LE9  2,2020,146,4849
LE9  3,1442,98,3928
LE9  4,2735,222,8001
LE9  6,3474,395,9679
LE9  7,5467,323,12656
LE9  8,4230,222,9588
LE9  9,3020,275,7741
LN1  1,3500,368,10574
LN1  2,5072,395,12148
LN1  3,4432,313,9391
LN10 5,395,33,762
LN10 6,2487,204,5442
LN11 0,4580,395,10461
LN11 7,2361,250,5291
LN11 8,3638,330,8355
LN11 9,2598,319,5501
LN12 1,2573,213,5510
LN12 2,4481,299,7884
LN13 0,1225,143,2771
LN13 9,2382,243,5451
LN2  1,896,223,2099
LN2  2,4686,367,11618
LN2  3,2771,319,6947
LN2  4,5658,385,14367
LN2  5,3296,264,7194
LN3  4,2593,214,6818
LN3  5,1405,259,3494
LN4  1,4787,355,11371
LN4  2,3678,309,8699
LN4  3,3673,293,8335
LN4  4,4785,393,12169
LN5  0,2581,282,6110
LN5  7,3164,332,8004
LN5  8,4234,301,9697
LN5  9,5013,370,12611
LN6  0,6207,360,13952
LN6  3,1861,181,3638
LN6  4,120,25,518
LN6  5,1394,103,3219
LN6  7,5243,363,14681
LN6  8,4422,297,10759
LN6  9,5765,396,17910
LN7  6,2746,303,6429
LN8  2,810,99,1826
LN8  3,4433,375,9603
LN8  5,1421,137,3366
LN8  6,1305,144,2895
LN9  5,2238,238,5081
LN9  6,2450,223,5099
LS1  2,136,290,467
LS1  3,272,98,886
LS1  4,1570,261,2418
LS1  5,155,257,310
LS1  6,256,201,300
LS10 1,2256,306,4720
LS10 2,1918,229,4312
LS10 3,5702,298,13383
LS10 4,6570,350,17652
LS11 0,1992,170,4410
LS11 5,2769,321,5550
LS11 6,3036,213,7856
LS11 7,3807,190,9709
LS11 8,3595,270,8224
LS11 9,1655,262,4155
LS12 1,3016,277,5709
LS12 2,2594,279,8265
LS12 3,4366,321,8992
LS12 4,4303,313,9304
LS12 5,4317,274,9611
LS12 6,694,186,2304
LS13 1,3457,241,7352
LS13 2,4689,308,11700
LS13 3,3310,263,7824
LS13 4,4512,293,10189
LS14 1,3524,230,9031
LS14 2,1981,144,5620
LS14 3,1362,160,3198
LS14 5,3305,209,7866
LS14 6,5335,373,13289
LS15 0,3483,211,8221
LS15 4,2362,196,4895
LS15 7,4053,287,9136
LS15 8,4134,357,9818
LS15 9,1637,148,3852
LS16 5,3415,256,7428
LS16 6,4353,324,10174
LS16 7,5003,310,11176
LS16 8,1659,206,4943
LS16 9,1639,173,3930
LS17 0,599,98,1435
LS17 5,3141,214,7838
LS17 6,4528,317,10402
LS17 7,4091,343,9615
LS17 8,4896,397,11256
LS17 9,1987,216,4365
LS18 4,4305,365,11363
LS18 5,4301,329,10570
LS19 6,2709,276,6902
LS19 7,6209,397,13492
LS2  7,1714,285,2328
LS2  8,361,235,2916
LS2  9,1455,213,5649
LS20 8,2938,257,6920
LS20 9,2579,215,6311
LS21 1,2612,316,6416
LS21 2,3105,272,7422
LS21 3,2404,215,4710
LS22 4,843,376,1881
LS22 5,1564,216,3857
LS22 6,2819,262,6608
LS22 7,1859,166,4478
LS23 6,3420,344,8070
LS23 7,434,185,1772
LS24 8,1451,133,3250
LS24 9,3776,356,9145
LS25 1,3457,231,7823
LS25 2,2963,222,7713
LS25 3,658,85,1560
LS25 4,833,89,2107
LS25 5,2063,217,5062
LS25 6,2897,278,8834
LS25 7,4373,277,10343
LS26 0,6168,369,13913
LS26 8,5192,375,12727
LS26 9,1708,159,4714
LS27 0,3190,342,8148
LS27 7,4642,368,10544
LS27 8,4835,374,10830
LS27 9,4008,279,8762
LS28 5,5199,378,12996
LS28 6,1604,240,3402
LS28 7,4205,337,10500
LS28 8,3380,248,8309
LS28 9,2760,209,6444
LS29 0,2363,312,5135
LS29 6,2414,292,6381
LS29 7,3080,281,7252
LS29 8,3655,341,8400
LS29 9,2678,301,5693
LS3  1,1144,227,5414
LS4  2,3996,309,9401
LS5  3,3499,274,8411
LS6  1,5297,342,17191
LS6  2,3657,332,11079
LS6  3,4332,290,11938
LS6  4,4375,305,9580
LS7  1,2007,187,5231
LS7  2,3318,301,8497
LS7  3,3974,273,8997
LS7  4,3944,291,9098
LS8  1,4286,289,10352
LS8  2,4855,343,13007
LS8  3,4559,245,13333
LS8  4,2360,191,6372
LS8  5,3369,258,8565
LS9  0,2719,274,7078
LS9  6,5500,286,14205
LS9  7,3854,288,9096
LS9  8,2840,265,6749
LS9  9,2727,167,6435
LU1  1,4827,363,15981
LU1  2,565,297,2063
LU1  3,4237,368,11784
LU1  4,2518,182,6233
LU1  5,4781,322,14450
LU2  0,4718,337,14476
LU2  7,8487,395,21798
LU2  8,5305,316,13008
LU2  9,4646,323,12333
LU3  1,6700,357,24467
LU3  2,5549,328,16320
LU3  3,7613,360,19892
LU3  4,2334,118,5231
LU4  0,6728,348,18113
LU4  8,4408,297,17552
LU4  9,7117,392,22068
LU5  4,5853,357,14795
LU5  5,7031,376,18581
LU5  6,3143,301,8707
LU6  1,4828,350,13518
LU6  2,3531,305,8668
LU6  3,5063,311,12304
LU7  0,3883,388,9780
LU7  1,2785,187,5177
LU7  2,4997,240,11343
LU7  3,5572,324,15363
LU7  4,3062,259,9944
LU7  9,3177,334,9808
M1   1,472,149,809
M1   2,1157,201,2805
M1   3,727,163,1517
M1   4,137,133,278
M1   5,1472,138,3299
M1   6,574,110,771
M1   7,1001,103,2316
M11  1,2463,246,6430
M11  2,1443,245,4330
M11  3,1500,249,4524
M11  4,3681,336,9116
M12  4,2678,267,7888
M12  5,3514,335,10251
M12  6,317,187,1295
M13  0,4907,375,16490
M13  9,2418,362,7794
M14  4,3535,269,11491
M14  5,3803,342,10595
M14  6,5966,400,20176
M14  7,5241,296,14442
M15  4,5038,370,11070
M15  5,3160,301,7174
M15  6,1951,245,7966
M16  0,2982,383,9036
M16  7,3132,288,7960
M16  8,4992,344,11253
M16  9,3280,333,9531
M18  7,5369,321,14669
M18  8,4859,337,12127
M19  1,4681,343,12839
M19  2,5258,391,13541
M19  3,4116,292,11022
M20  1,3407,227,8572
M20  2,5814,399,11624
M20  3,2671,215,6426
M20  4,4049,254,10497
M20  5,1853,129,4701
M20  6,3785,290,7948
M21  0,2439,227,6068
M21  7,3567,264,8671
M21  8,2581,203,5656
M21  9,4358,342,8633
M22  0,1447,152,4077
M22  1,3479,233,8148
M22  4,4876,395,10836
M22  5,3017,326,6933
M22  8,1866,169,5735
M22  9,4026,250,9863
M23  0,3915,271,9478
M23  1,3685,200,8627
M23  2,2609,190,6345
M23  9,3804,340,8303
M24  1,5001,380,11449
M24  2,5720,380,13744
M24  4,4466,332,10851
M24  5,3885,249,9249
M24  6,2379,173,5374
M25  0,2955,276,9502
M25  1,3775,268,7812
M25  2,1530,101,3629
M25  3,1540,164,3894
M25  9,3321,290,8039
M26  1,4777,342,11021
M26  2,2791,218,7014
M26  3,4615,253,10313
M26  4,3601,241,8772
M27  0,3082,231,6744
M27  4,2421,183,5754
M27  5,3700,281,8513
M27  6,2767,204,5511
M27  8,3956,282,10275
M27  9,2813,179,6311
M28  0,2542,152,5609
M28  1,4272,320,10775
M28  2,2657,283,6271
M28  3,5209,395,13428
M28  7,3005,212,7477
M29  7,5549,367,13657
M29  8,4480,323,10478
M3   1,368,156,1759
M3   2,120,147,127
M3   3,400,152,551
M3   4,1598,162,2675
M3   5,900,171,2257
M3   6,1794,164,4450
M3   7,2049,172,4527
M30  0,5001,383,12180
M30  7,4225,260,9497
M30  8,4282,239,10133
M30  9,3907,285,8654
M31  4,3625,310,8176
M32  0,4649,395,10573
M32  8,3064,254,7525
M32  9,4839,274,11402
M33  2,5704,400,13399
M33  3,5542,398,12407
M33  4,5961,356,13765
M33  5,4286,350,10127
M33  6,3047,247,6938
M33  7,2213,321,5288
M34  2,4622,285,10000
M34  3,4144,353,8711
M34  5,5266,397,13936
M34  6,3149,179,6681
M34  7,3970,297,8437
M35  0,5191,340,12317
M35  9,4180,298,9138
M38  0,1103,233,3462
M38  9,4678,273,11627
M4   1,1151,106,1984
M4   4,2030,154,4686
M4   5,995,128,2331
M4   6,802,178,4756
M4   7,1587,121,3861
M40  0,1808,164,5525
M40  1,2663,199,6277
M40  2,2679,233,6150
M40  3,3183,193,7622
M40  5,1799,185,4914
M40  7,2753,349,6192
M40  8,1815,236,4278
M40  9,2163,169,5284
M41  0,2398,193,6142
M41  5,2689,203,6591
M41  6,3431,197,7119
M41  7,2405,229,5740
M41  8,2826,200,6709
M41  9,3974,282,9424
M43  6,4586,319,10133
M43  7,5954,384,13801
M44  5,3351,246,7937
M44  6,5271,315,11983
M45  6,2386,181,6039
M45  7,4295,385,9145
M45  8,3568,290,8109
M46  0,4937,318,11653
M46  9,5433,339,11766
M5   3,2666,305,7128
M5   4,3077,378,8536
M5   5,2310,160,5532
M50  1,725,38,954
M50  2,191,124,1929
M50  3,1841,172,3496
M6   5,4520,346,10064
M6   6,2005,296,7011
M6   7,4042,265,9248
M6   8,4288,273,9902
M60  7,52,56,69
M60  9,102,87,253
M7   1,1771,221,6704
M7   2,2431,212,7183
M7   3,2441,178,5985
M7   4,5129,400,16131
M8   0,3372,272,11194
M8   4,3351,236,8784
M8   5,2472,184,7267
M8   8,1419,302,4312
M8   9,1269,193,4677
M9   0,2103,135,4756
M9   4,3652,279,9213
M9   5,1766,175,4324
M9   6,3922,272,9696
M9   7,2841,128,6959
M9   8,3827,268,9380
ME1  1,2881,370,6382
ME1  2,5936,321,14791
ME1  3,4477,374,12659
ME10 1,5847,338,13869
ME10 2,5785,334,15353
ME10 3,3266,294,9734
ME10 4,3986,288,9975
ME10 5,1043,76,3679
ME11 5,1503,147,3936
ME12 1,2985,299,7351
ME12 2,5527,290,13057
ME12 3,4783,335,14263
ME12 4,2624,236,8290
ME13 0,1545,247,2991
ME13 7,4197,323,9265
ME13 8,4406,377,11368
ME13 9,2183,306,5318
ME14 1,1442,341,4074
ME14 2,4570,334,11199
ME14 3,821,155,2293
ME14 4,2609,228,6007
ME14 5,3945,370,10713
ME15 0,1664,239,4187
ME15 6,4527,390,12865
ME15 7,4489,306,11468
ME15 8,4764,368,12593
ME15 9,4530,387,12197
ME16 0,5778,396,14394
ME16 8,5060,328,12714
ME16 9,2194,220,7308
ME17 1,1978,345,6700
ME17 2,1740,234,4056
ME17 3,2352,330,7029
ME17 4,3338,348,9131
ME18 5,2038,257,4455
ME18 6,932,144,2655
ME19 4,2778,350,9556
ME19 5,2644,296,8183
ME19 6,3289,308,7877
ME2  1,2281,182,6605
ME2  2,6053,389,15814
ME2  3,5101,298,12668
ME2  4,2978,353,7736
ME20 6,5437,365,13472
ME20 7,3077,343,8304
ME3  0,662,83,1731
ME3  7,2644,275,6636
ME3  8,3343,324,10133
ME3  9,4531,348,11742
ME4  3,1197,121,3677
ME4  4,1819,381,4948
ME4  5,5733,301,14324
ME4  6,3908,303,10552
ME5  0,4954,281,12208
ME5  7,5309,299,12907
ME5  8,6067,360,15222
ME5  9,4832,344,11828
ME6  5,4474,307,11844
ME7  1,4713,334,12912
ME7  2,4971,283,12970
ME7  3,3373,242,8319
ME7  4,4016,238,9301
ME7  5,3991,286,9891
ME8  0,3847,295,9965
ME8  6,4268,267,10374
ME8  7,3386,272,8236
ME8  8,4120,285,10284
ME8  9,5261,306,11965
ME9  0,1132,192,2676
ME9  7,2853,309,7866
ME9  8,2505,337,7570
ME9  9,2103,216,5548
MK1  1,355,301,673
MK10 7,964,189,10149
MK10 9,4248,357,14324
MK11 1,2757,230,6025
MK11 2,625,37,1847
MK12 5,3296,337,9474
MK12 6,1997,138,5014
MK13 0,2041,192,5108
MK13 7,3185,245,8098
MK13 8,1290,184,3234
MK13 9,1280,138,2798
MK14 5,2888,283,7874
MK14 6,2454,298,7339
MK14 7,2319,207,6111
MK15 0,512,80,869
MK15 8,801,113,1831
MK15 9,1869,176,4183
MK16 0,2328,237,5833
MK16 8,3411,335,8010
MK16 9,2074,257,5270
MK17 0,2525,289,6384
MK17 8,3013,385,8386
MK17 9,1972,271,4946
MK18 1,3853,395,10189
MK18 2,2398,289,6276
MK18 3,2635,292,6871
MK18 4,1493,249,4055
MK18 5,721,159,2261
MK18 7,1460,161,4968
MK19 6,2635,247,7234
MK19 7,2043,224,5316
MK2  2,2977,351,8047
MK2  3,3044,238,9089
MK3  5,2758,307,10435
MK3  6,2345,241,6776
MK3  7,4228,324,10629
MK4  1,2346,195,5758
MK4  2,2161,175,5124
MK4  3,1336,133,3928
MK4  4,2519,243,9832
MK40 1,1969,316,4590
MK40 2,3624,351,8306
MK40 3,4047,352,8831
MK40 4,4384,373,17674
MK41 0,4087,370,10497
MK41 6,1929,134,4523
MK41 7,5282,379,12222
MK41 8,3364,233,7420
MK41 9,3340,273,9058
MK42 0,5204,386,15677
MK42 6,394,89,4417
MK42 7,3485,339,11004
MK42 8,4423,317,10763
MK42 9,5149,386,14580
MK43 0,4695,391,15407
MK43 7,3148,291,7348
MK43 8,3042,313,7191
MK43 9,2601,313,11173
MK44 1,2262,260,5239
MK44 2,1531,253,3780
MK44 3,2949,332,7517
MK45 1,5304,389,13306
MK45 2,4350,391,12287
MK45 3,2578,306,7839
MK45 4,3846,325,11003
MK45 5,2024,182,5007
MK46 4,1435,152,3528
MK46 5,2543,234,5863
MK5  6,2054,211,5832
MK5  7,2524,221,6867
MK5  8,1267,167,3147
MK6  2,3879,355,11129
MK6  3,2304,215,6125
MK6  4,2394,111,6417
MK6  5,2216,134,5937
MK7  6,1002,160,2723
MK7  7,2936,263,7258
MK7  8,2031,220,4809
MK8  0,1731,202,4615
MK8  8,1821,213,4214
MK8  9,1200,131,3090
MK9  2,1070,226,1743
MK9  3,894,225,1800
MK9  4,231,39,1012
N1   0,4872,385,11053
N1   1,4581,394,9738
N1   2,5668,396,10939
N1   3,4020,282,8718
N1   4,4112,281,8445
N1   5,4127,296,10082
N1   6,3590,344,7777
N1   7,5296,375,12761
N1   8,3761,356,8106
N1   9,3165,378,6234
N10  1,3599,257,8864
N10  2,4087,306,9452
N10  3,4063,346,9168
N11  1,3816,338,10767
N11  2,4245,304,11126
N11  3,3900,282,9504
N12  0,3237,288,8657
N12  7,2063,200,6115
N12  8,3517,363,7850
N12  9,2938,336,8074
N13  4,5328,356,13294
N13  5,4877,344,13271
N13  6,2375,141,7102
N14  4,4343,339,11090
N14  5,2317,252,6628
N14  6,2820,278,7455
N14  7,2150,191,6249
N15  3,4306,256,10484
N15  4,4387,367,12724
N15  5,3832,244,9945
N15  6,4705,286,15273
N16  0,3629,280,8081
N16  5,5858,366,16055
N16  6,4961,319,15048
N16  7,4856,294,11683
N16  8,4988,331,11169
N16  9,2716,181,6393
N17  0,4508,349,11797
N17  6,8351,396,19822
N17  7,3682,253,10410
N17  8,3223,193,8855
N17  9,4946,376,17929
N18  1,5594,324,17064
N18  2,5991,370,17319
N19  3,5712,367,13665
N19  4,4821,305,9920
N19  5,5059,352,11417
N2   0,4209,384,9947
N2   8,2762,214,6602
N2   9,3041,260,8068
N20  0,4348,371,11124
N20  8,1557,206,4116
N20  9,1624,247,4874
N21  1,3669,308,8912
N21  2,2708,261,7661
N21  3,3064,258,7691
N22  5,5352,300,13279
N22  6,5035,327,13085
N22  7,3019,159,7471
N22  8,4044,246,9724
N3   1,3736,382,9502
N3   2,3739,356,9287
N3   3,3331,334,7973
N4   1,5480,388,13823
N4   2,7432,397,18730
N4   3,5581,349,13409
N4   4,3400,239,7220
N5   1,5733,371,12557
N5   2,5740,364,13167
N6   4,2310,261,5101
N6   5,5367,396,10326
N6   6,1677,176,2828
N7   0,5940,302,11882
N7   6,3331,279,7114
N7   7,3268,243,8853
N7   8,5354,343,11440
N7   9,4421,329,11542
N8   0,4856,297,11311
N8   7,4569,327,10855
N8   8,3808,311,8070
N8   9,4803,335,9821
N9   0,4770,336,12221
N9   7,3833,235,10706
N9   8,4804,257,12993
N9   9,6473,377,17125
NE1  2,1490,172,4157
NE1  3,452,143,1320
NE1  4,1133,189,3498
NE1  5,641,175,1240
NE1  6,435,183,1567
NE1  8,286,145,829
NE10 0,4533,319,8088
NE10 8,7874,331,17035
NE10 9,4438,265,9091
NE11 0,1880,367,4161
NE11 9,5508,342,11808
NE12 5,844,61,1904
NE12 6,3859,281,9475
NE12 7,2289,148,5824
NE12 8,4830,327,10056
NE12 9,4338,272,9377
NE13 6,2747,183,6785
NE13 7,2465,207,6299
NE13 8,465,56,1116
NE13 9,408,85,5955
NE15 0,988,101,2207
NE15 6,2635,283,7377
NE15 7,4063,230,9205
NE15 8,4165,278,7961
NE15 9,2797,249,7159
NE16 3,1507,118,2863
NE16 4,2970,240,6462
NE16 5,4850,346,10309
NE16 6,2315,190,5086
NE17 7,2337,194,4563
NE18 0,417,79,944
NE19 1,609,119,1123
NE19 2,475,120,939
NE2  1,3891,256,12464
NE2  2,2711,147,6910
NE2  3,2594,124,7273
NE2  4,1722,147,6005
NE20 0,598,193,2327
NE20 9,4529,357,10254
NE21 4,2502,217,6410
NE21 5,2389,284,4981
NE21 6,2968,219,6304
NE22 5,4169,275,8399
NE22 6,2425,179,6047
NE22 7,1516,152,3499
NE23 1,1593,172,4570
NE23 2,2349,120,5270
NE23 3,2194,143,5452
NE23 6,5242,330,10633
